card_id,credit_card_number,customer_id,status,issued_on,card_type,limit
c4ec87e8-2022-4549-addd-a36e95b14d2d,6125016096261585,6e272658-b6a3-4fe5-9646-eaafa020bb62,Active,2021-05-21 22:40:10,Debit,3000
0be1cc43-e3b7-4240-a2ce-53d849667b6e,7737975403048659,56400737-a965-49d9-8076-04669d2ed8b9,Inactive,2023-05-01 10:06:08,Credit,7500
06764ae5-5d85-45e3-b16d-b1862bb1370f,6361389558970217,5bc20277-186f-41d1-94de-20314ee2ab4e,Active,2025-02-23 01:27:24,Credit,5000
f073587c-ea6b-446d-84d6-b8e8c1499068,9542541520670651,71047e2d-814e-4882-b193-cb4257d943c9,Active,2023-03-25 14:33:07,Credit,2000
b4706af6-1fa5-4929-9074-5f65699870d2,6819904181408659,6ce5f310-4535-4fd9-861e-80c1e6c44d9d,Inactive,2023-05-19 05:14:26,Credit,6000
654492f6-b7fc-4ed6-978a-690f85df1d84,1514220736206165,608e2288-56b7-4a01-b978-d693fb3ed5b5,Active,2023-08-28 08:32:24,Debit,2500
47726547-4f40-4d83-b5a6-73bbafdcd84c,5790165757915920,bd0d6382-1ec4-4f3c-8a4f-5713ca0ae777,Active,2021-04-20 09:05:19,Debit,3500
163b2bf5-7326-4e12-8a7d-7203b546603a,7715806839463525,a7c89b88-baa6-4224-90ea-6e673f6717bd,Inactive,2021-11-23 00:05:59,Credit,4500
ec2ad94e-4489-4817-8503-ca134aac8c4a,4159376586346244,45768e1a-5fc3-45a8-9e54-ff0b1ee75dda,Inactive,2022-05-05 10:55:38,Credit,5000
e77729dd-b4b8-4eef-ad25-8f90fce680fc,8490694481743632,c00e54cd-858e-40e0-857d-444d8e0015f2,Active,2022-01-01 16:45:37,Credit,7500
bff83063-a74c-4e64-a9d7-f8f997e02338,4075672431605833,73959abb-a039-435c-a106-76e00ee9f56a,Active,2021-06-28 12:28:45,Credit,8000
e7798c93-a9a1-4569-b5f8-a301fcb3ad41,7092978949322464,cc3854ca-fd11-48aa-8870-5c866814a581,Active,2023-08-06 17:01:01,Credit,4000
e49f6046-69fb-4a8c-8e0d-5693acc59ecf,9665001921311877,fbd970d0-96b3-4771-b804-ad4381f0603a,Active,2022-07-19 22:28:11,Debit,4000
96745299-ee43-4297-a126-62a009425c81,6936741881740579,df5bb944-7bc0-40aa-9f44-ae9c3d53e080,Active,2023-01-01 14:26:46,Credit,6500
0dee3e13-c596-444e-ae0a-b32f74f96245,8281467549053647,8a2994b9-6e61-472f-b354-99d3eea7415e,Active,2023-10-20 21:56:48,Debit,3500
1595fe65-0b2c-4f66-983c-930de54337a3,3903964504521007,569af3b2-d63d-4c8e-acab-2b6d55751a7c,Inactive,2023-03-11 20:10:28,Debit,8500
223032bd-1332-45d5-b536-f569ec029007,4084007142212187,9523ba98-10c4-423c-b4c1-8052edb37494,Active,2022-01-09 07:29:52,Credit,1500
c649d5fc-12ef-438a-a899-79e0a830d3ed,2629954539384691,f494a033-6cfc-4e4a-9dc2-6777c3ef959f,Inactive,2025-04-26 19:04:32,Credit,4500
a5c12d02-91fc-45a1-bd44-0a37914043bf,4296496391272780,7861b828-412c-4d59-a880-282b5549689e,Active,2024-08-18 00:49:02,Debit,8000
