customer_id,name,email,phone,dob,kyc_status,registration_date
6e272658-b6a3-4fe5-9646-eaafa020bb62,Gary Davis DVM,samanthamitchell@example.com,001-695-523-3703,1999-10-29,Verified,2025-01-17 17:49:19
56400737-a965-49d9-8076-04669d2ed8b9,Jennifer Ruiz,lflowers@example.net,4649305449,1983-03-11,Verified,2022-04-15 15:00:10
5bc20277-186f-41d1-94de-20314ee2ab4e,Karen Walker,obarber@example.com,+1-271-786-3525x6100,2003-07-04,Verified,2021-05-08 19:29:18
71047e2d-814e-4882-b193-cb4257d943c9,Sandra Johnson,joshua88@example.org,+1-658-867-7519x1741,1971-11-16,Verified,2023-09-28 14:58:12
6ce5f310-4535-4fd9-861e-80c1e6c44d9d,Charles Gamble,courtneyhampton@example.net,+1-873-228-7396x265,2001-11-29,Pending,2022-12-07 20:23:14
608e2288-56b7-4a01-b978-d693fb3ed5b5,Jacob Tucker,estradaroberto@example.net,001-544-769-3860x4271,2001-02-25,Pending,2025-04-22 10:21:36
bd0d6382-1ec4-4f3c-8a4f-5713ca0ae777,Thomas Schroeder,tmorgan@example.org,609-363-1318,1990-08-04,Pending,2024-10-02 12:06:13
a7c89b88-baa6-4224-90ea-6e673f6717bd,Mitchell Diaz,martinezcrystal@example.org,570.255.1677x555,1989-07-29,Pending,2021-12-27 17:42:22
45768e1a-5fc3-45a8-9e54-ff0b1ee75dda,Teresa Brooks,emorrison@example.org,863.773.3963x559,1963-08-06,Pending,2024-01-23 12:30:50
c00e54cd-858e-40e0-857d-444d8e0015f2,Steven Zimmerman,isaiah38@example.net,(700)392-7479,1965-10-08,Pending,2021-02-12 05:50:50
73959abb-a039-435c-a106-76e00ee9f56a,Elizabeth Moore,karenroberts@example.net,3492478262,1996-04-15,Verified,2022-10-27 09:33:51
cc3854ca-fd11-48aa-8870-5c866814a581,Judith Williams,christianjustin@example.com,(358)771-7617x534,1995-03-15,Verified,2021-12-11 20:04:40
fbd970d0-96b3-4771-b804-ad4381f0603a,Walter Lee,davidclarke@example.org,408.612.3459,1969-03-13,Verified,2024-09-19 17:18:13
df5bb944-7bc0-40aa-9f44-ae9c3d53e080,Douglas Bell,nelsonvincent@example.net,432.768.9649x446,1979-11-18,Pending,2025-01-31 03:19:55
8a2994b9-6e61-472f-b354-99d3eea7415e,Kayla Estrada,rodgersmichele@example.com,(364)940-8797,1990-08-27,Verified,2025-05-02 08:26:13
569af3b2-d63d-4c8e-acab-2b6d55751a7c,Jacob Deleon,ipayne@example.org,3633403239,1992-06-21,Pending,2021-09-23 21:39:56
